,centrality,closeness,betweenness,current flow closeness,current flow betweenness,eigenvector,exclusive editors
Semi-major axis,0.980132450331,0.980519480519,7.49654530319e-05,3.64520145437,0.0034423518205,0.0423731418538,74
Shape,0.996688741722,0.996699669967,2.85447384752e-05,4.43823870753,0.00605063181081,0.0837736173062,181
Shear mapping,0.980132450331,0.980519480519,0.000163982179499,2.86879630161,0.00240704088109,0.021962493552,29
Similarity (geometry),0.993377483444,0.993421052632,1.09096718063e-05,4.41426865803,0.00616627508161,0.0739930718254,130
Soddy's hexlet,0.986754966887,0.986928104575,0.000357441188512,2.79548041254,0.00235754834708,0.0200204521611,23
Solid geometry,0.993377483444,0.993421052632,0.000144327082728,3.88816713149,0.00430741819752,0.0476627434589,65
Space group,0.986754966887,0.986928104575,6.14506240225e-06,3.87950631452,0.0043465977958,0.0454485601265,69
Sphere,0.993377483444,0.993421052632,2.13396121839e-05,4.80066311355,0.00806557292478,0.115097398281,312
Sphere packing,0.993377483444,0.993421052632,3.30112719255e-05,4.02847965038,0.00497132584767,0.0492298186262,83
Spherical geometry,0.996688741722,0.996699669967,9.34787616067e-05,4.10285613191,0.00486273971995,0.0564585034496,101
Spherical trigonometry,1.0,1.0,0.000222029282141,4.04522367812,0.00476692002665,0.0538305977564,110
Sphericon,0.980132450331,0.980519480519,0.00457452474947,2.3291618246,0.00177051660913,0.0148636316897,22
Spheroid,0.980132450331,0.980519480519,1.54545167122e-06,3.87264399066,0.00403957530572,0.0487042179736,78
Spline (mathematics),0.996688741722,0.996699669967,5.41728251239e-05,4.18725150172,0.00533590600118,0.0602210415096,110
Square,0.996688741722,0.996699669967,0.000101174532131,4.7029739649,0.00739468869748,0.109888319254,288
Squaring the circle,0.993377483444,0.993421052632,7.66218886907e-06,4.37488188942,0.00594855461759,0.0722634538952,164
Star polygon,0.996688741722,0.996699669967,0.000136948958851,4.11570269639,0.00515561629497,0.0551118121094,94
Steiner chain,0.990066225166,0.990163934426,0.00139580074617,3.02751690634,0.0026842831525,0.0241604799208,24
Stereographic projection,0.996688741722,0.996699669967,0.000243014990594,3.95430279452,0.00451166269335,0.0494191064454,102
Strähle construction,0.96357615894,0.964856230032,0.00146749579802,2.30473496932,0.00170967207934,0.0149355630812,20
Straightedge,0.956953642384,0.95873015873,0.00487837643052,2.39486063311,0.0016636431235,0.0184361871696,44
Symmedian,0.990066225166,0.990163934426,0.000143954229307,3.57674351267,0.00368288743332,0.0358068706339,31
Symmetry,0.996688741722,0.996699669967,5.36615294504e-06,4.87393309735,0.00894255892273,0.118714682436,283
Symmetry group,0.986754966887,0.986928104575,0.000137835132503,3.87922996286,0.00423471429899,0.0470699860482,72
Symplectic geometry,0.990066225166,0.990163934426,0.000244860116208,3.83602504595,0.00432338671795,0.0433118818003,54
Synthetic geometry,0.990066225166,0.990163934426,8.13010292526e-05,3.503623563,0.00364883363182,0.0338070907486,40
Systolic geometry,0.993377483444,0.993421052632,0.000127329097194,3.31792707334,0.00328436540104,0.0290677877909,35
Tangential quadrilateral,0.983443708609,0.983713355049,0.000197450130229,3.33070686276,0.00334088559082,0.0306952488279,34
Taxicab geometry,0.993377483444,0.993421052632,6.63371720792e-05,3.88665109319,0.00431168318057,0.0464454940526,85
Tessellation,0.996688741722,0.996699669967,0.0,4.81360153131,0.00841423865155,0.113484363892,305
Tetrahedron,0.993377483444,0.993421052632,1.62889559991e-05,4.75021162843,0.00801463701765,0.102704853965,247
Thales' theorem,0.993377483444,0.993421052632,2.33724976083e-05,3.96661697473,0.00452852900104,0.0499724172209,90
The Method of Mechanical Theorems,0.986754966887,0.986928104575,0.00044097523098,3.27833980874,0.00298557562943,0.0298897510843,41
Topology,0.996688741722,0.996699669967,5.36615294504e-06,4.84140524967,0.00860382686847,0.116891705341,302
Toric variety,0.970198675497,0.971061093248,0.000733406844068,2.34929688742,0.00176558260094,0.014766791685,21
Torus,0.996688741722,0.996699669967,1.81336425498e-05,4.51464730519,0.00662635522315,0.0797759714576,174
Transformation geometry,0.976821192053,0.977346278317,0.00314663928086,2.57365972783,0.00205163374673,0.0179834688368,21
Translational symmetry,0.986754966887,0.986928104575,8.23548542106e-05,3.33947316199,0.00301630123308,0.0312994408146,40
Translation (geometry),0.996688741722,0.996699669967,7.04932127934e-05,4.31025162879,0.00569156199254,0.0665372696699,102
Trapezoid,0.996688741722,0.996699669967,0.000123946594193,4.78382643428,0.00803803375239,0.115405903228,273
Triangle,0.993377483444,0.993421052632,0.0,5.10085806206,0.010974563244,0.173218940076,621
Triangle inequality,0.996688741722,0.996699669967,7.14769113701e-05,4.05636542857,0.00481248269323,0.0553362572851,83
Trigonometry,0.993377483444,0.993421052632,2.54083749195e-05,4.97784464786,0.00941004224408,0.151153257504,531
Tropical geometry,0.986754966887,0.986928104575,0.000294451894623,3.25746998367,0.00292731633314,0.0295047891726,45
Uniform polyhedron,0.990066225166,0.990163934426,6.52126126024e-05,3.78497245621,0.00416093776141,0.0416454866725,70
Uniform tessellation,0.993377483444,0.993421052632,0.00156209629414,3.00536101933,0.0026890800336,0.0237095934495,25
Van Hiele model,0.980132450331,0.980519480519,0.000541461669114,2.59244534916,0.00196938405335,0.0188496812943,20
Voronoi diagram,0.996688741722,0.996699669967,4.95435470649e-05,4.19772190493,0.00553145474585,0.0573149237146,111
Wallace–Bolyai–Gerwien theorem,0.990066225166,0.990163934426,6.76509430845e-06,3.4981727102,0.00349894600095,0.0335062960343,36
Wallpaper group,0.993377483444,0.993421052632,1.93652543812e-05,3.9929480089,0.00477663044452,0.0493645100547,90
Wang tile,0.986754966887,0.986928104575,0.000216078374328,3.21350095214,0.0029377965341,0.0288002434357,45
Zonohedron,0.980132450331,0.980519480519,7.72400766045e-05,2.9065974071,0.00252845364264,0.0217171528739,35
