pagename,average word length,first revision,hidden users,length,page views,unique ip users,unique registered users,unique users,words,Pagerank pro 0.8,Pagerank pro 0.85,Pagerank pro 0.9,Pagerank links 0.8,Pagerank links 0.85,Pagerank links 0.9,firstRevisions,islist,lastRevisions,nbBacklinks,nbCategories,nbLinks,nbcontributors,nbcontributorsBot,nbcontributorsIP,nbcontributorsMembers,nbrevisions,nbrevisionsBot,nbrevisionsIP,nbrevisionsMembers,ns,pageid,quality
Elliptic geometry,5.47341176471,2003-05-29T00:29:05Z,0,13756,239044,48,70,118,2125,2.84324586391,2.80880392529,2.77325906791,4.06297622249,4.22290340066,4.39766189083,2003-05-29T00:29:05Z,0.0,2014-08-23T11:45:15Z,148,3,59,115.0,9.0,48.0,58.0,203.0,11.0,86.0,106.0,0,236020,4.0
Enumerative geometry,5.80750605327,2005-11-03T09:30:49Z,0,5623,30605,5,23,28,826,2.16897390783,2.08045425825,1.98921491392,0.977881951258,0.793526414782,0.60421472881,2005-11-03T09:30:49Z,0.0,2014-04-26T14:25:21Z,45,4,43,25.0,5.0,4.0,16.0,40.0,5.0,5.0,30.0,0,3069092,2.0
Epipolar geometry,5.3016564952,2006-11-11T19:02:31Z,0,7228,247669,31,38,69,1147,1.7230398953,1.61273276899,1.50072947145,3.30032990314,3.30032920465,3.30024166033,2006-11-11T19:02:31Z,0.0,2013-07-14T16:59:47Z,111,3,20,68.0,9.0,31.0,28.0,139.0,13.0,48.0,78.0,0,7889445,3.0
Equidiagonal quadrilateral,6.22727272727,2012-03-09T07:44:34Z,0,4929,9688,1,6,7,682,1.08762318268,0.94126840122,0.793817744125,1.41984049696,1.29202823155,1.16438092664,2012-03-09T07:44:34Z,0.0,2014-08-28T21:15:08Z,17,1,28,6.0,1.0,1.0,4.0,33.0,1.0,2.0,30.0,0,35012663,2.0
Equilateral triangle,6.02294921875,2003-01-23T11:36:19Z,0,14383,1632475,148,151,299,2048,4.4142222032,4.48700785637,4.56018093973,8.42578336596,8.87879915535,9.35534387827,2003-01-23T11:36:19Z,0.0,2014-08-31T16:29:28Z,651,3,191,290.0,26.0,144.0,120.0,539.0,43.0,225.0,271.0,0,173285,3.0
Erlangen program,5.95050088391,2003-06-10T10:19:19Z,0,11795,117461,16,71,87,1697,2.94958776794,2.91795888916,2.88463407196,3.24230547994,3.19731258787,3.13926814124,2003-06-10T10:19:19Z,0.0,2014-06-16T05:48:17Z,101,7,91,85.0,15.0,16.0,54.0,149.0,15.0,18.0,116.0,0,243382,4.0
Euclidean distance,5.78099838969,2002-05-28T14:31:11Z,0,4211,1655342,65,107,172,621,3.28376539983,3.27558489516,3.26621998101,3.02851339802,3.0858386308,3.14945029095,2002-05-28T14:31:11Z,0.0,2014-08-28T10:41:20Z,268,3,27,163.0,21.0,62.0,80.0,257.0,25.0,82.0,150.0,0,53932,2.0
Euclidean geometry,5.78279225506,2002-02-09T13:15:12Z,0,46591,2582259,411,361,772,6869,6.37807138264,6.60585984588,6.83858944103,16.4879672229,17.3590779305,18.2286910713,2001-09-25T04:18:59Z,0.0,2014-08-27T00:32:39Z,1047,10,262,758.0,31.0,408.0,319.0,1676.0,72.0,849.0,755.0,0,9417,4.0
Euclidean shortest path,6.53299492386,2007-04-30T02:05:07Z,0,4452,70481,11,16,27,591,1.20279891416,1.06089282781,0.917482422665,0.824590853881,0.665266357828,0.503417686559,2007-04-30T02:05:07Z,0.0,2013-03-13T08:44:38Z,21,5,31,25.0,4.0,11.0,10.0,42.0,5.0,14.0,23.0,0,10976022,0.0
Euler line,5.82938026014,2003-03-30T21:34:56Z,0,8926,205462,49,80,129,1307,3.1869742088,3.17760230973,3.16772866063,2.76140752248,2.81509221531,2.88771488704,2003-03-30T21:34:56Z,0.0,2014-08-14T08:42:37Z,67,1,54,125.0,17.0,48.0,60.0,216.0,22.0,73.0,121.0,0,203622,2.0
Finite geometry,5.31397527164,2003-07-14T06:08:06Z,0,16852,111979,15,57,72,2669,3.13066504896,3.10371140949,3.07407928631,3.75039153732,3.83138330653,3.90287395567,2003-07-14T06:08:06Z,0.0,2014-08-27T13:49:41Z,204,2,121,69.0,8.0,13.0,48.0,143.0,11.0,15.0,117.0,0,267061,3.0
Focus (geometry),4.75624082232,2004-10-01T20:56:54Z,0,7840,298511,19,47,66,1362,2.11665523238,2.03767418861,1.95794017054,3.22480243631,3.20550054312,3.18156648427,2004-10-01T20:56:54Z,0.0,2013-10-21T14:05:44Z,137,2,28,65.0,14.0,19.0,32.0,99.0,19.0,26.0,54.0,0,1032607,2.0
Four-dimensional space,5.92885044643,2005-01-05T11:31:22Z,1,24833,1677210,584,457,1041,3584,6.28354586661,6.51526730508,6.7536230199,3.71734146029,3.7970256526,3.8746939972,2005-01-05T11:31:22Z,0.0,2014-08-14T23:42:00Z,991,9,174,1022.0,39.0,573.0,410.0,1911.0,107.0,824.0,980.0,0,1364622,3.0
Fractal,6.10657248157,2002-02-08T01:40:42Z,0,23139,7341024,817,760,1577,3256,7.50260846689,7.85280484706,8.21660365909,3.66101646796,3.71471536346,3.75980860554,2001-08-28T12:44:26Z,0.0,2014-08-27T13:50:03Z,1452,7,322,1536.0,51.0,795.0,690.0,3282.0,144.0,1315.0,1823.0,0,10913,4.0
Frieze group,5.92961876833,2003-11-22T13:45:37Z,0,9452,109020,20,48,68,1364,2.83425371163,2.79030064121,2.74402182549,1.86783960089,1.76276965067,1.65108661167,2003-11-22T13:45:37Z,0.0,2014-07-29T11:24:11Z,90,2,38,68.0,12.0,20.0,36.0,178.0,15.0,22.0,141.0,0,375503,0.0
Geometric shape,5.28382838284,2004-11-29T00:43:17Z,0,1904,252690,6,17,23,303,1.26156071201,1.12755678128,0.992701388896,2.22260295413,2.09937198088,1.96650438011,2004-11-29T00:43:17Z,0.0,2014-08-07T17:30:50Z,80,3,34,20.0,,5.0,15.0,37.0,,7.0,30.0,0,1220579,0.0
Geometrization conjecture,5.46851800935,2003-05-03T13:35:19Z,0,23526,153006,41,74,115,3637,3.07818129659,3.0494898092,3.01829422824,1.21515197679,1.08443025965,0.951942929532,2003-05-03T13:35:19Z,0.0,2014-06-05T02:33:37Z,112,6,67,107.0,12.0,40.0,55.0,309.0,15.0,60.0,234.0,0,220642,4.0
Geometry,6.04401480872,2006-10-02T03:47:30Z,1,34248,5363330,710,598,1308,4862,7.38314073533,7.72867910564,8.08840524405,28.0254371464,28.8475304842,29.5519139618,2006-10-02T03:47:30Z,0.0,2014-08-26T19:34:24Z,5169,4,375,1281.0,52.0,695.0,534.0,2514.0,230.0,1035.0,1249.0,0,18973446,3.0
Geometry of numbers,6.90855803048,2003-06-20T11:58:18Z,0,6746,81429,8,39,47,853,2.71032797173,2.65743164346,2.60191876441,1.97369232774,1.858675736,1.72886904329,2003-06-20T11:58:18Z,0.0,2014-07-05T23:47:04Z,81,1,82,45.0,10.0,8.0,27.0,117.0,10.0,9.0,98.0,0,250153,3.0
Girard Desargues,5.96511627907,2003-11-06T20:46:43Z,0,3594,29296,22,67,89,516,3.25760268606,3.24227707461,3.2248692587,2.17412249185,2.15175142512,2.13101971895,2003-11-06T20:46:43Z,0.0,2014-02-19T19:48:08Z,48,17,46,88.0,26.0,21.0,41.0,121.0,31.0,23.0,67.0,0,358484,2.0
Glide reflection,4.43743743744,2003-12-24T12:01:20Z,0,5432,147179,7,34,41,999,2.47573759407,2.41084722802,2.34383810312,2.10060994141,2.03425763175,1.96444033645,2003-12-24T12:01:20Z,0.0,2013-09-17T02:54:17Z,63,3,32,37.0,10.0,5.0,22.0,79.0,11.0,7.0,61.0,0,412984,0.0
Golden angle,5.85753424658,2003-09-11T01:57:36Z,0,2503,246255,21,57,78,365,2.80576944351,2.7631400153,2.71863047965,0.660065968987,0.49504940398,0.330033071805,2003-09-11T01:57:36Z,0.0,2014-07-28T16:50:38Z,78,4,32,76.0,17.0,21.0,38.0,119.0,18.0,24.0,77.0,0,315659,2.0
Graham scan,4.61775043937,2003-12-08T16:22:42Z,0,6393,235017,45,55,100,1138,2.54096416757,2.48280749656,2.42290506139,0.918052508496,0.752839026973,0.582640990615,2003-12-08T16:22:42Z,0.0,2014-08-28T07:44:25Z,45,3,20,100.0,13.0,45.0,42.0,163.0,16.0,58.0,89.0,0,393372,0.0
Group action,4.5245187901,2002-02-25T15:51:15Z,0,24109,552235,89,157,246,4364,4.4561997056,4.52194456011,4.58621699363,6.64560031146,6.68295007199,6.67950790375,2001-11-02T15:49:34Z,0.0,2014-08-15T21:54:15Z,573,5,148,232.0,25.0,83.0,124.0,507.0,34.0,124.0,349.0,0,12781,4.0
Hadwiger's theorem,6.56595744681,2004-05-01T22:06:39Z,0,1778,24682,7,16,23,235,1.72283151187,1.6112778103,1.49777671322,0.923678861,0.7314234972,0.530735473149,2004-05-01T22:06:39Z,0.0,2014-08-13T14:35:07Z,26,3,15,23.0,2.0,7.0,14.0,51.0,2.0,9.0,40.0,0,629554,2.0
Handedness,6.23399765533,2003-01-22T11:59:54Z,0,30853,2026155,363,428,791,4265,4.6713813208,4.77305613458,4.87702758983,8.12420994043,9.61097236723,12.4612543732,2003-01-22T11:59:54Z,0.0,2014-08-29T00:40:49Z,2757,17,111,749.0,29.0,343.0,377.0,1330.0,93.0,479.0,758.0,0,172644,3.0
Hermite spline,6.54761904762,2003-07-18T02:49:42Z,0,317,40341,3,11,14,42,0.872083473951,0.711910717655,0.550662807655,0.660065968987,0.49504940398,0.330033071805,2003-07-18T02:49:42Z,0.0,2012-06-08T15:15:48Z,20,4,11,14.0,1.0,3.0,10.0,18.0,1.0,3.0,14.0,0,270977,1.0
Heronian tetrahedron,5.97142857143,2004-01-10T19:16:38Z,0,732,14417,4,12,16,105,1.32621638477,1.19468173943,1.06191169471,0.830422155559,0.66619028803,0.500910915434,2004-01-10T19:16:38Z,0.0,2013-03-13T02:30:19Z,16,4,10,15.0,3.0,4.0,8.0,18.0,3.0,5.0,10.0,0,426551,1.0
Heronian triangle,5.21875,2004-06-17T07:50:41Z,0,8955,94433,18,49,67,1440,2.90523166768,2.86393729039,2.82003125176,1.91650702618,1.81207957212,1.70878297649,2004-06-17T07:50:41Z,0.0,2014-08-25T20:32:26Z,36,4,32,66.0,11.0,18.0,37.0,118.0,11.0,24.0,83.0,0,731959,0.0
Heron's formula,5.55574468085,2003-03-09T21:43:12Z,0,7703,1342452,190,177,367,1175,4.41063614562,4.4905655086,4.57189138979,4.00720443577,4.15114872158,4.31593507528,2003-03-09T21:43:12Z,0.0,2014-08-12T11:17:18Z,156,5,38,356.0,26.0,184.0,146.0,647.0,44.0,261.0,342.0,0,194123,2.0
Hidden line removal,5.98712446352,2004-04-14T23:04:40Z,0,1628,68537,14,26,40,233,1.47756270599,1.35515932925,1.231516595,0.660065968987,0.49504940398,0.330033071805,2004-04-14T23:04:40Z,0.0,2013-09-28T01:13:50Z,28,5,9,39.0,6.0,14.0,19.0,46.0,6.0,16.0,24.0,0,596878,1.0
Hilbert's axioms,4.88516746411,2004-07-17T15:09:36Z,0,12300,138773,51,77,128,2090,2.79489788227,2.75565078482,2.71505024284,2.43738363497,2.42525991052,2.42001423612,2004-07-17T15:09:36Z,0.0,2014-06-24T15:32:10Z,93,1,41,127.0,12.0,50.0,65.0,245.0,17.0,94.0,134.0,0,838151,3.0
Hilbert's third problem,5.53549060543,2002-11-28T17:07:35Z,0,6261,48274,13,45,58,958,2.5632258039,2.5023969356,2.43920856155,1.30322191399,1.11910584383,0.923824147321,2002-11-28T17:07:35Z,0.0,2014-07-14T17:47:34Z,61,4,71,56.0,9.0,11.0,36.0,77.0,10.0,12.0,55.0,0,152703,3.0
Holditch's theorem,5.42059336824,2005-12-25T02:32:53Z,0,3679,15455,1,23,24,573,1.98473385535,1.89029902685,1.79401482455,0.660065968987,0.49504940398,0.330033071805,2005-12-25T02:32:53Z,0.0,2014-03-30T02:17:01Z,18,1,17,23.0,6.0,1.0,16.0,36.0,6.0,5.0,25.0,0,3521151,2.0
Homogeneous coordinates,5.11498973306,2003-06-10T06:25:02Z,0,20846,530680,76,81,157,3409,3.63423163071,3.63689707592,3.63657483831,5.87280839682,5.9959013015,6.09622895718,2003-06-10T06:25:02Z,0.0,2014-08-19T23:39:51Z,211,4,55,150.0,13.0,73.0,64.0,333.0,18.0,94.0,221.0,0,243316,3.0
Homography,5.16204819277,2005-11-01T06:27:23Z,0,20458,401312,37,72,109,3320,2.52962158993,2.46820016764,2.40471842699,5.13485446572,5.29886595905,5.45612582937,2005-11-01T06:27:23Z,0.0,2014-08-09T17:17:41Z,70,2,84,105.0,13.0,35.0,57.0,225.0,14.0,44.0,167.0,0,3051962,2.0
Homothetic center,5.01041292639,2008-02-10T14:24:34Z,0,16739,30261,4,21,25,2785,1.65536790155,1.54064036906,1.42417033203,1.40577345155,1.28175900318,1.16039370187,2008-02-10T14:24:34Z,0.0,2013-03-18T04:14:20Z,40,3,35,24.0,5.0,4.0,15.0,58.0,5.0,5.0,48.0,0,15685517,2.0
Homothetic transformation,5.51397849462,2003-12-03T14:05:29Z,0,3029,141124,24,79,103,465,3.23561416008,3.21619794704,3.19429091178,2.49403389171,2.46786559001,2.44775274768,2003-12-03T14:05:29Z,0.0,2014-04-06T21:08:03Z,86,1,22,101.0,19.0,24.0,58.0,136.0,20.0,29.0,87.0,0,386138,0.0
Honeycomb (geometry),6.66052631579,2006-07-18T02:58:53Z,0,8733,138411,14,47,61,1140,2.12470372207,2.03831400722,1.94994616322,2.92512425222,2.81655834988,2.68281507306,2006-07-18T02:58:53Z,0.0,2014-06-16T23:43:09Z,412,5,115,55.0,6.0,13.0,36.0,158.0,7.0,14.0,137.0,0,6008654,2.0
Hyperbola,5.12840785169,2002-02-25T15:43:11Z,0,44958,2368051,213,252,465,7336,5.44810760766,5.59983216226,5.75380399823,5.77600952238,5.99098484963,6.21537631378,2001-11-01T03:52:46Z,0.0,2014-08-20T14:09:18Z,418,5,123,454.0,36.0,208.0,210.0,901.0,55.0,308.0,538.0,0,14052,4.0
Hyperbolic geometry,5.90036325895,2003-06-06T16:55:00Z,0,26594,850576,111,193,304,3854,4.81742853299,4.90873865783,4.99902665615,6.7736916244,7.08825513721,7.41591118276,2003-06-06T16:55:00Z,0.0,2014-08-05T21:07:25Z,567,4,159,292.0,24.0,108.0,160.0,580.0,41.0,139.0,400.0,0,241291,4.0
Hyperboloid,5.42318567389,2002-11-10T13:59:45Z,0,6815,490153,31,82,113,1061,3.34247597493,3.33084119484,3.31690651365,2.34453799203,2.25604185835,2.15980410576,2002-11-10T13:59:45Z,0.0,2014-05-05T09:43:03Z,159,5,53,112.0,19.0,31.0,62.0,180.0,23.0,38.0,119.0,0,145844,3.0
Hyperplane,6.04842105263,2002-10-05T23:16:35Z,0,6696,524028,45,92,137,950,3.65242105909,3.65871516988,3.66239971481,4.87397704273,4.89366892725,4.89331642166,2002-10-05T23:16:35Z,0.0,2014-08-13T11:31:24Z,328,6,85,130.0,21.0,43.0,66.0,259.0,26.0,78.0,155.0,0,99862,2.0
Hyperplane at infinity,5.25581395349,2004-06-10T06:37:40Z,0,2152,14827,4,14,18,344,1.21296488214,1.07577396557,0.937592645641,1.97822507471,1.90423766617,1.83074478991,2004-06-10T06:37:40Z,0.0,2014-06-13T04:14:06Z,19,2,13,18.0,1.0,4.0,13.0,32.0,1.0,4.0,27.0,0,713946,0.0
Image analysis,6.17409766454,2003-10-21T16:14:58Z,0,6758,323481,41,73,114,942,2.13658669963,2.05530272797,1.97278568521,0.936641299631,0.764090567827,0.583705143072,2003-10-21T16:14:58Z,0.0,2014-08-27T07:06:42Z,163,4,59,114.0,12.0,41.0,61.0,182.0,15.0,60.0,107.0,0,346382,2.0
Incidence geometry,5.65589353612,2005-03-06T18:06:07Z,0,7002,41199,8,26,34,1052,1.97012745775,1.87514349818,1.77835253999,2.26622074842,2.23697070032,2.21071322449,2005-03-06T18:06:07Z,0.0,2014-04-15T20:44:05Z,57,1,29,33.0,4.0,7.0,22.0,54.0,4.0,8.0,42.0,0,1576323,2.0
Incidence (geometry),4.96580188679,2003-12-04T09:52:02Z,0,5059,55221,6,26,32,848,1.90349319018,1.80407497101,1.7028010916,2.49624252319,2.45095859282,2.40397476591,2003-12-04T09:52:02Z,,2013-07-01T17:18:11Z,64,2,43,31.0,5.0,6.0,20.0,52.0,5.0,9.0,38.0,0,387224,
Incircle and excircles of a triangle,5.7247311828,2002-12-24T08:08:21Z,0,12508,269774,57,96,153,1860,3.57391801663,3.5853588488,3.59582086094,9.59730800241,10.21507103,10.8881723136,2002-12-24T08:08:21Z,0.0,2014-07-24T16:58:35Z,73,2,48,151.0,14.0,57.0,80.0,275.0,18.0,76.0,181.0,0,161260,0.0
Infinitesimal transformation,5.74110671937,2004-05-16T07:53:54Z,0,3411,59526,4,22,26,506,1.66458706371,1.54952041339,1.43254525028,0.660065968987,0.49504940398,0.330033071805,2004-05-16T07:53:54Z,0.0,2013-10-13T17:14:49Z,44,6,40,25.0,4.0,4.0,17.0,51.0,6.0,4.0,41.0,0,658068,1.0
Information geometry,5.30589096231,2004-02-25T00:26:21Z,0,17234,122202,26,51,77,2733,2.29289662093,2.21571372822,2.1363068372,1.04215694591,0.844088557642,0.629713060334,2004-02-25T00:26:21Z,0.0,2014-04-23T05:49:21Z,54,6,75,74.0,6.0,25.0,43.0,199.0,7.0,34.0,158.0,0,487312,3.0
Inscribed angle,4.79111531191,2004-02-10T00:10:11Z,0,6127,318742,61,83,144,1058,3.64678143524,3.65831097588,3.66820138879,2.98038707115,2.95849121176,2.9401415959,2004-02-10T00:10:11Z,0.0,2014-08-01T15:30:05Z,64,4,30,140.0,18.0,59.0,63.0,215.0,27.0,90.0,98.0,0,462730,2.0
Integer triangle,5.32712270429,2010-05-21T18:42:39Z,0,23771,66648,5,21,26,3757,1.43082963768,1.30183773581,1.17113627493,1.89773063175,1.82137161028,1.74610945396,2010-05-21T18:42:39Z,0.0,2014-08-29T22:20:11Z,44,3,39,24.0,1.0,5.0,18.0,158.0,5.0,15.0,138.0,0,27430123,0.0
Integral geometry,5.51895734597,2003-10-25T11:39:15Z,0,2751,68811,8,21,29,422,1.66662293486,1.55310414266,1.43791618757,1.31806451827,1.11234863289,0.892011914402,2003-10-25T11:39:15Z,0.0,2014-01-21T05:17:05Z,64,1,32,29.0,4.0,8.0,17.0,42.0,4.0,10.0,28.0,0,349336,2.0
Internal and external angle,5.19111111111,2004-03-13T18:30:10Z,0,2786,133765,80,83,163,450,3.38687771,3.3863990102,3.38495546021,6.40236912295,6.91769924015,7.49502284452,2004-03-13T18:30:10Z,0.0,2014-08-01T01:34:24Z,79,6,15,159.0,14.0,80.0,65.0,248.0,23.0,111.0,114.0,0,524003,1.0
Invariant (mathematics),5.50358773646,2004-11-02T09:18:31Z,0,9970,307937,20,57,77,1533,2.86792870611,2.83093284816,2.79222847894,3.68650304154,3.72611754574,3.76059673727,2004-11-02T09:18:31Z,0.0,2014-08-08T16:19:21Z,257,3,114,74.0,12.0,19.0,43.0,142.0,17.0,24.0,101.0,0,1126638,3.0
Inversive geometry,5.47086247086,2003-08-13T21:14:32Z,0,16656,182091,39,98,137,2574,4.02325298637,4.05654124916,4.08772425726,2.95862089843,2.91193812154,2.85726739094,2003-08-13T21:14:32Z,0.0,2014-08-31T23:44:58Z,129,1,89,134.0,14.0,37.0,83.0,318.0,20.0,49.0,249.0,0,295844,3.0
Isometry,5.34269662921,2003-06-29T04:52:49Z,0,5645,539714,48,81,129,890,3.29774850979,3.29127465375,3.28357866965,6.34896988049,6.54731597751,6.72914041206,2003-06-29T04:52:49Z,0.0,2014-08-25T14:53:52Z,390,5,57,124.0,20.0,46.0,58.0,234.0,22.0,58.0,154.0,0,254777,3.0
Isoperimetric inequality,5.84593437946,2003-09-24T15:43:08Z,0,14397,128949,21,73,94,2103,3.20281228051,3.18015902303,3.15485405736,2.3131116759,2.26443493739,2.2165144328,2003-09-24T15:43:08Z,0.0,2014-05-14T11:32:04Z,85,8,87,89.0,21.0,20.0,48.0,168.0,26.0,27.0,115.0,0,326182,2.0
Isosceles trapezoid,5.47596153846,2004-03-08T01:15:30Z,0,5388,695732,147,94,241,832,3.14750894904,3.14206397161,3.13725927845,2.01746355742,1.98866520077,1.97068462148,2004-03-08T01:15:30Z,0.0,2014-08-29T23:08:07Z,99,2,32,240.0,12.0,147.0,81.0,441.0,22.0,219.0,200.0,0,511691,2.0
Isosceles triangle,5.48253783469,2003-09-10T14:33:43Z,0,11137,416183,18,30,48,1718,1.49587600026,1.37488706969,1.25285470858,4.41995356232,4.48924675584,4.56615164876,2003-09-10T14:33:43Z,0.0,2014-08-29T21:29:49Z,216,3,61,29.0,2.0,13.0,14.0,46.0,3.0,15.0,28.0,0,315428,2.0
Johnson solid,8.34948665298,2001-09-08T20:18:21Z,0,22766,178328,42,92,134,2435,3.1800721772,3.16836405545,3.15580074675,1.45435961895,1.31351640448,1.16617768072,2001-09-08T20:18:21Z,0.0,2014-08-22T15:05:22Z,254,2,176,130.0,14.0,41.0,75.0,426.0,19.0,70.0,337.0,0,16034,4.0
Kepler conjecture,5.9879093199,2003-11-16T07:14:11Z,0,13871,220373,51,108,159,1985,3.23991244659,3.22605762631,3.21046169847,1.88449234702,1.81005487684,1.72838615254,2003-11-16T07:14:11Z,0.0,2014-08-22T13:13:18Z,120,7,67,147.0,14.0,47.0,86.0,262.0,20.0,73.0,169.0,0,368311,4.0
Kepler–Poinsot polyhedron,6.52540415704,2001-10-08T23:37:07Z,0,13034,50553,28,95,123,1732,3.37553885765,3.37192625739,3.36682447232,2.72121280432,2.67050834373,2.61386507191,2001-10-08T23:37:07Z,0.0,2014-08-17T11:54:56Z,88,3,104,122.0,19.0,28.0,75.0,296.0,23.0,36.0,237.0,0,16814,4.0
Kissing number problem,5.63248407643,2003-12-20T02:16:41Z,0,10413,116286,25,67,92,1570,3.20254452527,3.1776742544,3.14975390211,1.45301478915,1.31112686358,1.16214645095,2003-12-20T02:16:41Z,0.0,2014-08-16T21:14:29Z,49,4,72,91.0,14.0,25.0,52.0,176.0,17.0,48.0,111.0,0,408555,2.0
Kite (geometry),6.17632241814,2002-09-13T14:27:53Z,0,11396,701133,150,156,306,1588,4.06749593094,4.12424094975,4.18218085542,3.62593634054,3.71990259737,3.82284400985,2002-09-13T14:27:53Z,0.0,2014-04-11T23:26:58Z,230,4,98,297.0,30.0,147.0,120.0,553.0,52.0,202.0,299.0,0,84840,3.0
Klein geometry,4.79953379953,2005-10-14T22:02:25Z,0,4976,34837,1,19,20,858,1.51836313307,1.39750854578,1.27521948889,0.934553914703,0.781018694397,0.625413842499,2005-10-14T22:02:25Z,0.0,2014-06-17T00:14:41Z,39,3,59,20.0,4.0,1.0,15.0,30.0,4.0,1.0,25.0,0,2908224,2.0
Lattice (group),5.48843322818,2004-02-14T19:04:34Z,0,12341,400572,38,76,114,1902,3.25003941543,3.23311449029,3.21385567077,4.43289894611,4.32603247464,4.17634425685,2004-02-14T19:04:34Z,0.0,2014-05-05T11:27:56Z,385,6,184,111.0,16.0,38.0,57.0,199.0,17.0,44.0,138.0,0,469246,3.0
Leech lattice,5.62302839117,2003-10-19T20:23:36Z,0,16796,92353,20,50,70,2536,2.60836933739,2.54718586802,2.48318398371,1.27551378682,1.11901306082,0.955241266638,2003-10-19T20:23:36Z,0.0,2014-03-21T00:36:57Z,80,5,99,64.0,5.0,17.0,42.0,149.0,5.0,21.0,123.0,0,344919,3.0
Lie sphere geometry,5.00301948943,2008-03-28T21:17:07Z,0,21869,28380,3,25,28,3643,1.4824536629,1.36230234057,1.24118360691,0.775487860665,0.613716139924,0.451377243735,2008-03-28T21:17:07Z,0.0,2014-07-30T22:40:18Z,42,3,72,27.0,3.0,3.0,21.0,87.0,5.0,8.0,74.0,0,16646944,4.0
Line at infinity,5.04556962025,2003-12-15T20:05:20Z,0,4776,63031,11,35,46,790,1.97971588932,1.88747572247,1.79372727871,3.03755723871,3.04126180708,3.04499943741,2003-12-15T20:05:20Z,0.0,2014-05-23T18:59:51Z,54,3,29,43.0,9.0,10.0,24.0,68.0,9.0,14.0,45.0,0,403142,2.0
Line (geometry),5.17446808511,2004-08-31T14:39:43Z,0,21765,1546589,301,291,592,3525,5.44796232134,5.61325531453,5.78302564099,17.1212237328,18.2754937559,19.4618329406,2004-08-31T14:39:43Z,0.0,2014-08-23T09:47:53Z,482,3,191,577.0,32.0,295.0,250.0,1058.0,87.0,408.0,563.0,0,946975,4.0
List of circle topics,6.48356164384,2005-05-16T21:19:59Z,0,5463,160597,9,50,59,730,2.27182218805,2.19713523984,2.12089950219,0.895664677955,0.741507741623,0.586497539189,2005-05-16T21:19:59Z,1.0,2014-08-25T21:12:31Z,62,3,269,55.0,9.0,8.0,38.0,313.0,9.0,8.0,296.0,0,1896674,0.0
List of interactive geometry software,8.02737467018,2004-11-22T02:10:59Z,0,27371,232895,135,122,257,3032,2.70742829889,2.66282842495,2.61699524708,1.73925678246,1.68821471743,1.642330084,2004-11-22T02:10:59Z,0.0,2014-07-03T10:27:22Z,36,8,78,253.0,17.0,132.0,104.0,672.0,25.0,336.0,311.0,0,1196020,0.0
List of triangle inequalities,5.93992817499,2006-04-26T15:50:37Z,0,21257,4275,0,5,5,3063,1.15408806596,1.01251725573,0.869870593306,1.17406889331,1.05019123293,0.929092522711,2006-04-26T15:50:37Z,,2006-04-26T15:50:37Z,17,3,76,1.0,,,1.0,1.0,,,1.0,0,4904667,
List of triangle topics,7.09333333333,2007-08-18T22:06:43Z,0,5463,148979,10,33,43,675,2.20166356303,2.11679330096,2.02956865542,1.20311044157,1.08040496707,0.95910881646,2007-08-18T22:06:43Z,1.0,2014-07-23T18:36:29Z,48,4,337,40.0,6.0,8.0,26.0,192.0,6.0,8.0,178.0,0,12830119,0.0
List of trigonometry topics,8.2495412844,2003-11-01T09:30:17Z,0,5041,57203,4,27,31,545,1.5689645661,1.45304354373,1.33596174419,0.660065968987,0.49504940398,0.330033071805,2003-11-01T09:30:17Z,1.0,2013-08-21T16:16:17Z,37,4,125,29.0,5.0,3.0,21.0,171.0,7.0,5.0,159.0,0,33727719,0.0
Locus (mathematics),4.91188811189,2004-03-21T20:21:29Z,0,4227,530788,106,119,225,715,3.80852050148,3.83860920556,3.86826065369,3.18079022691,3.17230820656,3.16008599475,2004-03-21T20:21:29Z,0.0,2014-06-11T15:50:19Z,203,1,27,219.0,24.0,103.0,92.0,346.0,40.0,139.0,167.0,0,542465,3.0
Mathematical morphology,5.61014263074,2003-09-06T14:17:37Z,0,16684,283080,54,65,119,2524,2.4389938917,2.37691914663,2.313536359,0.996665563434,0.807817094028,0.607538619079,2003-09-06T14:17:37Z,0.0,2014-08-16T15:43:30Z,65,3,111,117.0,12.0,53.0,52.0,213.0,13.0,82.0,118.0,0,312810,3.0
Mathematics,6.19681151242,2002-02-09T01:23:29Z,0,51011,15259614,1222,1509,2731,7088,9.72196739167,10.2958232164,10.8976801857,18.70213449,18.995327875,19.1392935812,2001-11-08T15:31:38Z,0.0,2014-08-30T16:58:43Z,35021,18,461,2713.0,88.0,1222.0,1403.0,6127.0,325.0,1796.0,4006.0,0,18831,4.0
Mathematics and fiber arts,6.90909090909,2007-09-24T00:45:27Z,0,6873,72914,3,33,36,869,2.04216735438,1.9501807401,1.85617781244,0.941555364989,0.804926385172,0.669478031341,2007-09-24T00:45:27Z,0.0,2014-02-25T20:02:24Z,110,3,125,35.0,6.0,2.0,27.0,81.0,8.0,2.0,71.0,0,13410380,3.0
